section,group_or_category,priority,term_or_phrase,why_important,recommended_response_style,source
positive_language,Customer Understanding,,do you understand,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,let me explain,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,does that make sense,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,is that clear,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,just to clarify,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,i'll walk you through,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,happy to explain again,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,take your time to understand,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,feel free to ask questions,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,would you like me to repeat,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,explain it simply,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,easy to understand,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,clear explanation,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,any questions so far,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,let me break that down,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,i can rephrase that for you,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,can you explain that again,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
positive_language,Customer Understanding,,i'm confused,"Shows the agent is checking understanding, slowing down where needed, and making information easier for the customer to follow.","Use plain language, confirm understanding, invite questions, and summarise dates, amounts, and next steps clearly.",config.yaml:agent_behaviour_phrases
